l,k,z,gcd
"[2, -3]","[-9, 5]","[2, -9, -9, 19, 23, -26]",7
"[-4, -1]","[-6, -8]","[10, -12, -12, 15, 17, -18]",8
"[2, 6]","[4, -1]","[10, -14, -16, 23, 25, -28]",8
"[4, 2]","[5, 6]","[11, -12, -15, 17, 19, -20]",8
"[-2, 6]","[-4, 1]","[14, -16, -19, 22, 28, -29]",8
"[4, 6]","[-1, -6]","[1, -4, -4, 9, 9, -11]",8
"[2, -4]","[-3, 1]","[3, -6, -8, 12, 18, -19]",8
"[4, -2]","[1, -2]","[1, -7, -11, 20, 25, -28]",8
"[-2, 2]","[-6, 1]","[5, -8, -11, 15, 23, -24]",8
"[3, -3]","[4, 1]","[2, -5, -16, 21, 28, -30]",9
"[3, -3]","[-4, 1]","[3, -4, -19, 22, 24, -26]",9
"[-3, 5]","[-3, 2]","[1, 6, 9, -21, -21, 26]",10
"[-2, 2]","[-7, -5]","[5, -6, -14, 16, 20, -21]",12
"[-6, -2]","[5, 3]","[4, 6, 8, -23, -25, 30]",12
"[4, -4]","[-5, -3]","[4, -5, -18, 20, 26, -27]",16
"[-1, -7]","[-5, 3]","[5, -11, -13, 23, 25, -29]",18
"[3, -3]","[3, -4]","[5, -9, -9, 16, 16, -19]",18
"[-6, 3]","[-3, -1]","[13, -15, -19, 22, 29, -30]",27
"[4, -4]","[4, 5]","[11, -16, -16, 25, 25, -29]",32
"[-4, 4]","[-6, -5]","[19, -20, -24, 26, 29, -30]",32
"[-3, 3]","[-9, 7]","[9, -11, -19, 23, 27, -29]",36
"[3, -3]","[9, 1]","[5, -9, -13, 19, 25, -27]",36
"[4, -6]","[4, -5]","[5, -12, -12, 22, 27, -30]",36
"[8, 2]","[4, 2]","[8, -11, -14, 18, 27, -28]",48
"[-6, 3]","[-9, -8]","[17, -18, -22, 25, 25, -27]",54
