l,k,z,gcd
[3],"[1, -1]","[2, 4, -7, -9, 10]",1
[4],"[-1, 2]","[4, 9, -14, -25, 26]",1
[-5],"[-1, 1]","[2, 18, -23, -25, 28]",1
[2],"[-1, 5]","[5, 6, -12, -21, 22]",2
[2],"[-1, -5]","[7, 9, -20, -22, 26]",2
[4],"[-1, 1]","[1, 5, -7, -8, 9]",2
[-1],"[-3, 1]","[5, 11, -18, -26, 28]",3
[3],"[1, -5]","[5, 8, -14, -26, 27]",3
[-2],"[1, 6]","[7, 8, -18, -22, 25]",3
[6],"[2, 1]","[7, 8, -17, -25, 27]",4
[-5],"[-4, -2]","[1, 14, -17, -18, 20]",8
